,name,description
0,id,contact id
1,activity_new,category of the company's activity
2,campaign_disc_ele,code of the electricity campaign the customer last subscribed to
3,channel_sales,code of the sales channel
4,cons_12m,electricity consumption of the past 12 months
5,cons_gas_12m,gas consumption of the past 12 months
6,cons_last_month,electricity consumption of the last month
7,date_activ,date of activation of the contract
8,date_end,registered date of the end of the contract
9,date_first_activ,date of first contract of the client
10,date_modif_prod,date of last modification of the product
11,date_renewal,date of the next contract renewal
12,forecast_base_bill_ele,forecasted electricity bill baseline for next month
13,forecast_base_bill_year,forecasted electricity bill baseline for calendar year
14,forecast_bill_12m,forecasted electricity bill baseline for 12 months
15,forecast_cons,forecasted electricity consumption for next month
16,forecast_cons_12m,forecasted electricity consumption for next 12 months
17,forecast_cons_year,forecasted electricity consumption for next calendar year
18,forecast_discount_energy,forecasted value of current discount
19,forecast_meter_rent_12m,forecasted bill of meter rental for the next 12 months
20,forecast_price_energy_p1,forecasted energy price for 1st period
21,forecast_price_energy_p2,forecasted energy price for 2nd period
22,forecast_price_pow_p1,forecasted power price for 1st period
23,has_gas,indicated if client is also a gas client
24,imp_cons,current paid consumption
25,margin_gross_pow_ele,gross margin on power subscription
26,margin_net_pow_ele,net margin on power subscription
27,nb_prod_act,number of active products and services
28,net_margin,total net margin
29,num_years_antig,antiquity of the client (in number of years)
30,origin_up,code of the electricity campaign the customer first subscribed to
31,pow_max,subscribed power
32,price_date,reference date
33,price_p1_var,price of energy for the 1st period
34,price_p2_var,price of energy for the 2nd period
35,price_p3_var,price of energy for the 3rd period
36,price_p1_fix,price of power for the 1st period
37,price_p2_fix,price of power for the 2nd period
38,price_p3_fix,price of power for the 3rd period
39,churn,has the client churned over the next 3 months
